Date,Time,HR (BPM),NZ Date,NZ Time
25/08/2024,19:23:28,70,26/08/2024,7:23:28
25/08/2024,19:23:38,75,26/08/2024,7:23:38
25/08/2024,19:23:43,86,26/08/2024,7:23:43
25/08/2024,19:23:53,87,26/08/2024,7:23:53
25/08/2024,19:23:58,88,26/08/2024,7:23:58
25/08/2024,19:24:08,90,26/08/2024,7:24:08
25/08/2024,19:24:13,91,26/08/2024,7:24:13
25/08/2024,19:24:18,90,26/08/2024,7:24:18
25/08/2024,19:24:23,89,26/08/2024,7:24:23
26/08/2024,1:38:31,70,26/08/2024,13:38:31
26/08/2024,1:38:41,71,26/08/2024,13:38:41
26/08/2024,1:38:46,73,26/08/2024,13:38:46
26/08/2024,1:38:51,74,26/08/2024,13:38:51
26/08/2024,1:38:56,85,26/08/2024,13:38:56
26/08/2024,1:39:01,89,26/08/2024,13:39:01
26/08/2024,1:39:06,90,26/08/2024,13:39:06
26/08/2024,1:39:16,91,26/08/2024,13:39:16
26/08/2024,1:39:21,92,26/08/2024,13:39:21
26/08/2024,4:43:52,70,26/08/2024,16:43:52
26/08/2024,4:44:02,74,26/08/2024,16:44:02
26/08/2024,4:44:07,83,26/08/2024,16:44:07
26/08/2024,4:44:12,84,26/08/2024,16:44:12
26/08/2024,4:44:17,87,26/08/2024,16:44:17
26/08/2024,4:44:22,90,26/08/2024,16:44:22
26/08/2024,4:44:27,89,26/08/2024,16:44:27
26/08/2024,6:16:01,70,26/08/2024,18:16:01
26/08/2024,6:16:16,70,26/08/2024,18:16:16
26/08/2024,6:16:31,70,26/08/2024,18:16:31
26/08/2024,6:16:46,80,26/08/2024,18:16:46
26/08/2024,6:16:51,99,26/08/2024,18:16:51
26/08/2024,6:17:06,99,26/08/2024,18:17:06
26/08/2024,6:17:11,98,26/08/2024,18:17:11
26/08/2024,6:17:16,99,26/08/2024,18:17:16
26/08/2024,6:17:21,100,26/08/2024,18:17:21
26/08/2024,6:17:26,101,26/08/2024,18:17:26
26/08/2024,6:17:31,99,26/08/2024,18:17:31
26/08/2024,6:17:41,99,26/08/2024,18:17:41
26/08/2024,6:17:51,98,26/08/2024,18:17:51
26/08/2024,6:17:56,97,26/08/2024,18:17:56
26/08/2024,6:18:01,97,26/08/2024,18:18:01
26/08/2024,6:18:06,98,26/08/2024,18:18:06
26/08/2024,6:18:11,99,26/08/2024,18:18:11
26/08/2024,6:18:16,100,26/08/2024,18:18:16
26/08/2024,6:18:26,100,26/08/2024,18:18:26
26/08/2024,6:18:41,100,26/08/2024,18:18:41
26/08/2024,6:18:46,101,26/08/2024,18:18:46
26/08/2024,6:18:51,105,26/08/2024,18:18:51
26/08/2024,6:18:56,107,26/08/2024,18:18:56
26/08/2024,6:19:01,105,26/08/2024,18:19:01
26/08/2024,6:19:06,102,26/08/2024,18:19:06
26/08/2024,6:19:11,101,26/08/2024,18:19:11
26/08/2024,6:19:26,99,26/08/2024,18:19:26
26/08/2024,6:19:36,98,26/08/2024,18:19:36
26/08/2024,6:19:41,96,26/08/2024,18:19:41
26/08/2024,6:19:46,95,26/08/2024,18:19:46
26/08/2024,6:19:56,94,26/08/2024,18:19:56
26/08/2024,6:20:11,93,26/08/2024,18:20:11
26/08/2024,6:20:32,93,26/08/2024,18:20:32
26/08/2024,6:20:37,93,26/08/2024,18:20:37
26/08/2024,6:20:52,92,26/08/2024,18:20:52
26/08/2024,6:21:07,91,26/08/2024,18:21:07
26/08/2024,6:21:22,92,26/08/2024,18:21:22
26/08/2024,6:21:27,94,26/08/2024,18:21:27
26/08/2024,6:21:37,95,26/08/2024,18:21:37
26/08/2024,6:21:47,93,26/08/2024,18:21:47
26/08/2024,6:21:52,91,26/08/2024,18:21:52
26/08/2024,6:21:57,90,26/08/2024,18:21:57
26/08/2024,6:22:12,91,26/08/2024,18:22:12
26/08/2024,6:22:17,90,26/08/2024,18:22:17
26/08/2024,6:22:22,89,26/08/2024,18:22:22
26/08/2024,6:22:32,88,26/08/2024,18:22:32
26/08/2024,6:22:37,87,26/08/2024,18:22:37
26/08/2024,6:22:52,87,26/08/2024,18:22:52
26/08/2024,6:22:57,85,26/08/2024,18:22:57
26/08/2024,6:23:02,84,26/08/2024,18:23:02
26/08/2024,6:23:12,83,26/08/2024,18:23:12
26/08/2024,6:23:17,84,26/08/2024,18:23:17
26/08/2024,6:23:32,84,26/08/2024,18:23:32
26/08/2024,6:23:42,85,26/08/2024,18:23:42
26/08/2024,6:23:47,86,26/08/2024,18:23:47
26/08/2024,6:23:52,87,26/08/2024,18:23:52
26/08/2024,6:23:57,86,26/08/2024,18:23:57
26/08/2024,6:24:12,87,26/08/2024,18:24:12
26/08/2024,6:24:27,88,26/08/2024,18:24:27
26/08/2024,6:24:32,88,26/08/2024,18:24:32
26/08/2024,6:24:37,89,26/08/2024,18:24:37
26/08/2024,6:24:42,88,26/08/2024,18:24:42
26/08/2024,6:24:52,89,26/08/2024,18:24:52
26/08/2024,6:25:07,88,26/08/2024,18:25:07
26/08/2024,6:25:12,87,26/08/2024,18:25:12
26/08/2024,6:25:17,86,26/08/2024,18:25:17
26/08/2024,6:25:22,84,26/08/2024,18:25:22
26/08/2024,6:25:37,84,26/08/2024,18:25:37
26/08/2024,6:25:42,85,26/08/2024,18:25:42
26/08/2024,6:25:57,86,26/08/2024,18:25:57
26/08/2024,6:26:12,86,26/08/2024,18:26:12
26/08/2024,6:26:17,87,26/08/2024,18:26:17
26/08/2024,6:26:22,88,26/08/2024,18:26:22
26/08/2024,6:26:27,90,26/08/2024,18:26:27
26/08/2024,6:26:32,93,26/08/2024,18:26:32
26/08/2024,6:26:37,94,26/08/2024,18:26:37
26/08/2024,6:26:47,96,26/08/2024,18:26:47
26/08/2024,6:26:52,95,26/08/2024,18:26:52
26/08/2024,6:27:07,94,26/08/2024,18:27:07
26/08/2024,6:27:22,94,26/08/2024,18:27:22
26/08/2024,6:27:27,92,26/08/2024,18:27:27
26/08/2024,6:27:32,91,26/08/2024,18:27:32
26/08/2024,6:27:37,90,26/08/2024,18:27:37
26/08/2024,6:27:52,89,26/08/2024,18:27:52
26/08/2024,6:27:57,88,26/08/2024,18:27:57
26/08/2024,6:28:12,88,26/08/2024,18:28:12
26/08/2024,6:28:17,89,26/08/2024,18:28:17
26/08/2024,6:28:22,91,26/08/2024,18:28:22
26/08/2024,6:28:27,90,26/08/2024,18:28:27
26/08/2024,6:28:32,89,26/08/2024,18:28:32
26/08/2024,6:28:37,88,26/08/2024,18:28:37
26/08/2024,6:28:42,87,26/08/2024,18:28:42
26/08/2024,6:28:52,86,26/08/2024,18:28:52
26/08/2024,6:29:02,85,26/08/2024,18:29:02
26/08/2024,6:29:07,84,26/08/2024,18:29:07
26/08/2024,6:29:22,84,26/08/2024,18:29:22
26/08/2024,6:29:37,84,26/08/2024,18:29:37
26/08/2024,6:29:52,84,26/08/2024,18:29:52
26/08/2024,6:30:07,84,26/08/2024,18:30:07
26/08/2024,6:30:22,85,26/08/2024,18:30:22
26/08/2024,6:30:32,86,26/08/2024,18:30:32
26/08/2024,6:30:47,86,26/08/2024,18:30:47
26/08/2024,6:30:52,87,26/08/2024,18:30:52
26/08/2024,6:31:07,87,26/08/2024,18:31:07
26/08/2024,6:31:22,87,26/08/2024,18:31:22
26/08/2024,6:31:37,87,26/08/2024,18:31:37
26/08/2024,6:31:42,87,26/08/2024,18:31:42
26/08/2024,6:31:47,87,26/08/2024,18:31:47
26/08/2024,6:31:52,86,26/08/2024,18:31:52
26/08/2024,6:32:02,85,26/08/2024,18:32:02
26/08/2024,6:32:07,86,26/08/2024,18:32:07
26/08/2024,6:32:22,86,26/08/2024,18:32:22
26/08/2024,6:32:37,86,26/08/2024,18:32:37
26/08/2024,6:32:42,86,26/08/2024,18:32:42
26/08/2024,6:32:47,86,26/08/2024,18:32:47
26/08/2024,6:32:52,86,26/08/2024,18:32:52
26/08/2024,6:33:07,86,26/08/2024,18:33:07
26/08/2024,6:33:22,87,26/08/2024,18:33:22
26/08/2024,6:33:37,87,26/08/2024,18:33:37
26/08/2024,6:33:42,86,26/08/2024,18:33:42
26/08/2024,6:33:47,85,26/08/2024,18:33:47
26/08/2024,6:34:02,85,26/08/2024,18:34:02
26/08/2024,6:34:07,86,26/08/2024,18:34:07
26/08/2024,6:34:12,87,26/08/2024,18:34:12
26/08/2024,6:34:27,87,26/08/2024,18:34:27
26/08/2024,6:34:42,88,26/08/2024,18:34:42
26/08/2024,6:34:57,88,26/08/2024,18:34:57
26/08/2024,6:35:12,88,26/08/2024,18:35:12
26/08/2024,6:35:27,88,26/08/2024,18:35:27
26/08/2024,6:35:32,89,26/08/2024,18:35:32
26/08/2024,6:35:37,90,26/08/2024,18:35:37
26/08/2024,6:35:47,89,26/08/2024,18:35:47
26/08/2024,6:36:02,89,26/08/2024,18:36:02
26/08/2024,6:36:12,90,26/08/2024,18:36:12
26/08/2024,6:36:17,89,26/08/2024,18:36:17
26/08/2024,6:36:32,89,26/08/2024,18:36:32
26/08/2024,6:36:37,88,26/08/2024,18:36:37
26/08/2024,6:36:52,88,26/08/2024,18:36:52
26/08/2024,6:37:02,90,26/08/2024,18:37:02
26/08/2024,6:37:07,92,26/08/2024,18:37:07
26/08/2024,6:37:12,93,26/08/2024,18:37:12
26/08/2024,6:37:27,92,26/08/2024,18:37:27
26/08/2024,6:37:37,92,26/08/2024,18:37:37
26/08/2024,6:37:47,94,26/08/2024,18:37:47
26/08/2024,6:38:02,93,26/08/2024,18:38:02
26/08/2024,6:38:07,92,26/08/2024,18:38:07
26/08/2024,6:38:17,89,26/08/2024,18:38:17
26/08/2024,6:38:32,89,26/08/2024,18:38:32
26/08/2024,6:38:47,89,26/08/2024,18:38:47
26/08/2024,6:38:52,88,26/08/2024,18:38:52
26/08/2024,6:39:07,88,26/08/2024,18:39:07
26/08/2024,6:39:17,87,26/08/2024,18:39:17
26/08/2024,6:39:27,86,26/08/2024,18:39:27
26/08/2024,6:39:32,85,26/08/2024,18:39:32
26/08/2024,6:39:42,84,26/08/2024,18:39:42
26/08/2024,6:39:47,86,26/08/2024,18:39:47
26/08/2024,6:39:52,87,26/08/2024,18:39:52
26/08/2024,6:39:57,86,26/08/2024,18:39:57
26/08/2024,6:40:07,85,26/08/2024,18:40:07
26/08/2024,6:40:22,85,26/08/2024,18:40:22
